Image_ID,Question,Image_Path,Answer,Other Option 1,Other Option 2,Other Option 3
81U5wL4m0IL,What is this product?,ca259249.jpg,TV Mount,Wall Shelf,Speaker Stand,Projector Mount
81U5wL4m0IL,Which category best describes this product?,ca259249.jpg,TV Mounts,TV Stands,Electronics Accessories,Wall Decor
81U5wL4m0IL,What is the primary color of this TV Mount?,ca259249.jpg,Black,Silver,White,Gray
81U5wL4m0IL,How many arms does this TV mount have?,ca259249.jpg,Two,One,Three,Four
81U5wL4m0IL,Does this TV mount include an HDMI cable?,ca259249.jpg,Yes,No,Partially,Not visible
81U5wL4m0IL,Is this TV mount designed for a wall installation?,ca259249.jpg,Yes,No,Partially,Not applicable
919u-H5s9jL,What is this product?,13fb20f0.jpg,TV Mount,Wall Bracket,TV Stand,Monitor Arm
919u-H5s9jL,Which category best describes this product?,13fb20f0.jpg,TV Mount,Wall Bracket,Electronics Accessory,Home Decor
919u-H5s9jL,What is the primary color of this TV Mount?,13fb20f0.jpg,Black,Silver,White,Gray
919u-H5s9jL,What material is this TV mount made of?,13fb20f0.jpg,Steel,Plastic,Aluminum,Wood
919u-H5s9jL,Does this TV mount have a tilting mechanism?,13fb20f0.jpg,Yes,No,Partially,Not Visible
919u-H5s9jL,How many screw holes are visible on this mount?,13fb20f0.jpg,Eight,Four,Six,Twelve
51yhhMDHstL,What is this product?,6e72e40d.jpg,TV Stand,Bookshelf,Cabinet,Sideboard
51yhhMDHstL,Which category best describes this product?,6e72e40d.jpg,TV Stand,Media Console,Entertainment Center,Storage Cabinet
51yhhMDHstL,What is the primary color of this TV Stand?,6e72e40d.jpg,White,Brown,Black,Gray
51yhhMDHstL,How many drawers does this TV stand have?,6e72e40d.jpg,Two,One,Three,Four
51yhhMDHstL,How many doors does this TV stand have?,6e72e40d.jpg,Two,One,Three,Four
51yhhMDHstL,How many shelves does this TV stand have?,6e72e40d.jpg,One,Two,Three,Zero
81+QyEqWRWL,What is this product?,f052e039.jpg,TV mount,TV mount,TV stand,Wall shelf
81+QyEqWRWL,Which category best describes this product?,f052e039.jpg,TV Mounts,TV Mounts,Home Theater Systems,Wall Decor
81+QyEqWRWL,What is the primary color of this TV mount?,f052e039.jpg,Black,Black,Silver,White
81+QyEqWRWL,How many arms does this TV mount have?,f052e039.jpg,Three,Three,Two,One
81+QyEqWRWL,Does this TV mount have a cable management system?,f052e039.jpg,Yes,Yes,No,Partially
81+QyEqWRWL,What is the type of TV mount's movement?,f052e039.jpg,Full motion,Full motion,Fixed,Tilting
71+hp0Df5KL,What is this product?,8590d47b.jpg,Monitor Mount,TV Stand,Laptop Stand,Tablet Holder
71+hp0Df5KL,Which category best describes this product?,8590d47b.jpg,Monitor Arm,Desk Organizer,Wall Shelf,Cable Management
71+hp0Df5KL,What is the primary color of this Monitor Mount?,8590d47b.jpg,Black,Silver,White,Gray
71+hp0Df5KL,Is the monitor mount made of aluminum?,8590d47b.jpg,Yes,No,Partially,Not visible
71+hp0Df5KL,How many arms does this monitor mount have?,8590d47b.jpg,Two,One,Three,Four
71+hp0Df5KL,Does the monitor mount appear to be wall-mounted?,8590d47b.jpg,Yes,No,Partially,Not applicable
81SM-aLmZnL,What is this product?,7cba1a23.jpg,TV Mount,TV Stand,Wall Shelf,Speaker Mount
81SM-aLmZnL,Which category best describes this product?,7cba1a23.jpg,TV Mount,Electronics,Home Decor,Furniture
81SM-aLmZnL,What is the primary color of this TV Mount?,7cba1a23.jpg,Black,Silver,White,Gold
81SM-aLmZnL,How many arms does this TV mount have?,7cba1a23.jpg,Two,One,Three,Four
81SM-aLmZnL,What is the mount's primary function?,7cba1a23.jpg,Wall Mounting,Floor Standing,Ceiling Mounting,Tabletop
81SM-aLmZnL,Does the TV mount appear to be fully extended in the image?,7cba1a23.jpg,No,Yes,Partially,Not visible
71w7djhrnGL,What is this product?,3acc8731.jpg,TV mount,TV stand,Wall shelf,Speaker mount
71w7djhrnGL,Which category best describes this product?,3acc8731.jpg,TV Mounts,Home Theater,Electronics Accessories,Wall Decor
71w7djhrnGL,What is the primary color of this TV mount?,3acc8731.jpg,Black,Silver,White,Gray
71w7djhrnGL,Does this TV mount have multiple arms for full motion?,3acc8731.jpg,Yes,No,Partially,Not visible
71w7djhrnGL,What is the maximum screen size this mount supports?,3acc8731.jpg,85 inches,50 inches,65 inches,100 inches
71w7djhrnGL,Can the TV be rotated on this mount?,3acc8731.jpg,Yes,No,Partially,Not applicable
81Wa+Re0qKL,What is this product?,28e99d06.jpg,Monitor Stand,Laptop Stand,TV Mount,Projector Mount
81Wa+Re0qKL,Which category best describes this product?,28e99d06.jpg,Computer Accessories,Furniture,Electronics,Office Supplies
81Wa+Re0qKL,What is the primary color of this Monitor Stand?,28e99d06.jpg,Black,Silver,White,Gray
81Wa+Re0qKL,How many monitors can this stand hold?,28e99d06.jpg,One,Two,Three,Four
81Wa+Re0qKL,What type of mounting options does this stand offer?,28e99d06.jpg,Clamp or Grommet,Wall Mount,Ceiling Mount,Floor Stand
81Wa+Re0qKL,Is the arm of this stand removable?,28e99d06.jpg,Yes,No,Partially,Not visible
81v6O64m5sL,What is this product?,d9d97b87.jpg,TV Mount,TV Stand,Wall Shelf,Monitor Arm
81v6O64m5sL,Which category best describes this product?,d9d97b87.jpg,TV Mounts,Home Theater,Electronics Accessories,Furniture
81v6O64m5sL,What is the primary color of this TV Mount?,d9d97b87.jpg,Black,Silver,White,Gray
81v6O64m5sL,What VESA sizes does this mount support (select one)?,d9d97b87.jpg,400x400,75x75,100x200,300x200
81v6O64m5sL,How many arms does this TV mount have?,d9d97b87.jpg,Four,Two,Three,One
51jWyskIhKL,What is this product?,3c05e910.jpg,TV Stand,TV Stand,Cabinet,Shelf
51jWyskIhKL,Which category best describes this product?,3c05e910.jpg,Furniture,Furniture,Electronics,Home Decor
51jWyskIhKL,What is the primary color of this TV Stand?,3c05e910.jpg,White/Oak,White/Oak,Black,Brown
51jWyskIhKL,How many drawers does this TV stand have?,3c05e910.jpg,Two,Two,One,Three
51jWyskIhKL,How many doors does this TV stand have?,3c05e910.jpg,Two,Two,One,Three
